"fixture_id,match_group_id,home,away"
"1,6,Sabres,Puffins"
"2,6,Hive,Aviators"
"3,6,Shadow,Pandas"
"18,6,Hawks,Ducks"
"19,6,Knights,Jets"
"20,6,Spartans,Express"
"21,6,Hurricanes,Eclipse"
"22,6,Lightning,Blizzard"
"23,6,Spectre,Demolition"
"24,6,Wizards,Comets"
"25,6,Sharks,Flames"
"26,6,Pirates,Outlaws"
"27,6,Rhinos,Bears"
"28,6,Elite,Dodgers"
"29,6,Tyrants,Bulls"
"123,6,Wolves,Foxes"
"17,16,Knights,Foxes"
"58,16,Bears,Shadow"
"153,16,Express,Sabres"
"154,16,Jets,Wolves"
"155,16,Spartans,Puffins"
"156,16,Blizzard,Hawks"
"157,16,Eclipse,Hive"
"158,16,Hurricanes,Aviators"
"159,16,Lightning,Ducks"
"160,16,Outlaws,Sharks"
"171,16,Pirates,Flames"
"172,16,Rhinos,Pandas"
"173,16,Bulls,Spectre"
"174,16,Dodgers,Wizards"
"175,16,Elite,Comets"
"176,16,Tyrants,Demolition"
"4,7,Foxes,Puffins"
"5,7,Blizzard,Eclipse"
"6,7,Bulls,Dodgers"
"30,7,Sabres,Wolves"
"31,7,Aviators,Ducks"
"32,7,Hawks,Hive"
"33,7,Express,Jets"
"34,7,Knights,Spartans"
"35,7,Hurricanes,Lightning"
"36,7,Comets,Demolition"
"37,7,Spectre,Wizards"
"38,7,Flames,Pandas"
"39,7,Shadow,Sharks"
"40,7,Bears,Outlaws"
"41,7,Pirates,Rhinos"
"42,7,Elite,Tyrants"
"7,8,Express,Knights"
"8,8,Pandas,Sharks"
"43,8,Foxes,Sabres"
"44,8,Puffins,Wolves"
"45,8,Aviators,Hawks"
"46,8,Ducks,Hive"
"47,8,Jets,Spartans"
"48,8,Blizzard,Hurricanes"
"49,8,Eclipse,Lightning"
"50,8,Comets,Spectre"
"51,8,Demolition,Wizards"
"52,8,Flames,Shadow"
"53,8,Bears,Pirates"
"54,8,Outlaws,Rhinos"
"59,8,Bulls,Elite"
"60,8,Dodgers,Tyrants"
"177,17,Foxes,Spartans"
"178,17,Puffins,Express"
"179,17,Sabres,Jets"
"180,17,Wolves,Knights"
"181,17,Aviators,Lightning"
"182,17,Ducks,Blizzard"
"183,17,Hawks,Eclipse"
"184,17,Hive,Hurricanes"
"185,17,Flames,Rhinos"
"186,17,Pandas,Bears"
"187,17,Shadow,Outlaws"
"188,17,Sharks,Pirates"
"189,17,Comets,Tyrants"
"190,17,Demolition,Bulls"
"191,17,Spectre,Dodgers"
"192,17,Wizards,Elite"
"9,9,Jets,Lightning"
"10,9,Bears,Elite"
"55,9,Spectre,Flames"
"61,9,Express,Hurricanes"
"62,9,Knights,Blizzard"
"63,9,Spartans,Eclipse"
"64,9,Foxes,Hawks"
"65,9,Puffins,Hive"
"66,9,Sabres,Aviators"
"67,9,Wolves,Ducks"
"68,9,Outlaws,Tyrants"
"69,9,Pirates,Bulls"
"70,9,Rhinos,Dodgers"
"71,9,Comets,Shadow"
"72,9,Demolition,Sharks"
"73,9,Wizards,Pandas"
"56,10,Aviators,Puffins"
"57,10,Flames,Demolition"
"74,10,Blizzard,Jets"
"75,10,Eclipse,Knights"
"76,10,Hurricanes,Spartans"
"77,10,Lightning,Express"
"78,10,Ducks,Sabres"
"79,10,Hawks,Wolves"
"80,10,Hive,Foxes"
"81,10,Bulls,Outlaws"
"82,10,Dodgers,Pirates"
"83,10,Elite,Rhinos"
"84,10,Tyrants,Bears"
"85,10,Pandas,Spectre"
"86,10,Shadow,Wizards"
"87,10,Sharks,Comets"
"193,18,Express,Foxes"
"194,18,Jets,Puffins"
"195,18,Knights,Sabres"
"196,18,Spartans,Wolves"
"197,18,Blizzard,Aviators"
"198,18,Eclipse,Ducks"
"199,18,Hurricanes,Hawks"
"200,18,Lightning,Hive"
"201,18,Bears,Flames"
"202,18,Outlaws,Pandas"
"203,18,Pirates,Shadow"
"204,18,Rhinos,Sharks"
"205,18,Bulls,Comets"
"206,18,Dodgers,Demolition"
"207,18,Elite,Spectre"
"208,18,Tyrants,Wizards"
"88,11,Express,Blizzard"
"89,11,Jets,Eclipse"
"90,11,Sabres,Hawks"
"91,11,Wolves,Hive"
"92,11,Bears,Bulls"
"93,11,Outlaws,Dodgers"
"94,11,Rhinos,Tyrants"
"95,11,Comets,Flames"
"96,11,Demolition,Pandas"
"97,11,Spectre,Shadow"
"98,11,Wizards,Sharks"
"124,11,Foxes,Aviators"
"161,11,Knights,Hurricanes"
"162,11,Spartans,Lightning"
"163,11,Puffins,Ducks"
"164,11,Pirates,Elite"
"99,12,Eclipse,Express"
"100,12,Hurricanes,Jets"
"101,12,Lightning,Knights"
"102,12,Aviators,Wolves"
"103,12,Ducks,Foxes"
"104,12,Hive,Sabres"
"105,12,Bulls,Rhinos"
"106,12,Dodgers,Bears"
"107,12,Elite,Outlaws"
"108,12,Flames,Wizards"
"109,12,Pandas,Comets"
"110,12,Shadow,Demolition"
"111,12,Sharks,Spectre"
"165,12,Blizzard,Spartans"
"166,12,Hawks,Puffins"
"167,12,Tyrants,Pirates"
"209,19,Foxes,Jets"
"210,19,Puffins,Knights"
"211,19,Sabres,Spartans"
"212,19,Wolves,Express"
"213,19,Aviators,Eclipse"
"214,19,Ducks,Hurricanes"
"215,19,Hawks,Lightning"
"216,19,Hive,Blizzard"
"217,19,Flames,Outlaws"
"218,19,Pandas,Pirates"
"219,19,Shadow,Rhinos"
"220,19,Sharks,Bears"
"221,19,Comets,Dodgers"
"222,19,Demolition,Elite"
"223,19,Spectre,Tyrants"
"224,19,Wizards,Bulls"
"112,13,Wolves,Puffins"
"113,13,Hawks,Aviators"
"114,13,Hive,Ducks"
"115,13,Knights,Express"
"116,13,Spartans,Jets"
"117,13,Lightning,Eclipse"
"118,13,Spectre,Comets"
"119,13,Wizards,Demolition"
"120,13,Shadow,Flames"
"121,13,Sharks,Pandas"
"122,13,Rhinos,Outlaws"
"125,13,Elite,Bulls"
"126,13,Tyrants,Dodgers"
"168,13,Sabres,Foxes"
"169,13,Hurricanes,Blizzard"
"170,13,Pirates,Bears"
"11,14,Wolves,Sabres"
"12,14,Eclipse,Blizzard"
"13,14,Outlaws,Bears"
"127,14,Puffins,Foxes"
"128,14,Ducks,Aviators"
"129,14,Hive,Hawks"
"130,14,Jets,Express"
"131,14,Spartans,Knights"
"132,14,Lightning,Hurricanes"
"133,14,Demolition,Comets"
"134,14,Wizards,Spectre"
"135,14,Pandas,Flames"
"136,14,Sharks,Shadow"
"137,14,Rhinos,Pirates"
"138,14,Dodgers,Bulls"
"139,14,Tyrants,Elite"
"14,15,Aviators,Hive"
"15,15,Eclipse,Hurricanes"
"16,15,Outlaws,Pirates"
"140,15,Foxes,Wolves"
"141,15,Puffins,Sabres"
"142,15,Ducks,Hawks"
"143,15,Express,Spartans"
"144,15,Jets,Knights"
"145,15,Blizzard,Lightning"
"146,15,Comets,Wizards"
"147,15,Demolition,Spectre"
"148,15,Flames,Sharks"
"149,15,Pandas,Shadow"
"150,15,Bears,Rhinos"
"151,15,Bulls,Tyrants"
"152,15,Dodgers,Elite"
"225,20,Jets,Aviators"
"226,21,Pirates,Bulls"
"227,21,Elite,Flames"
"228,21,Rhinos,Spectre"
"229,21,Lightning,Sabres"
"230,21,Wolves,Hurricanes"
"231,21,Aviators,Express"
"232,21,Elite,Outlaws"
"233,21,Wizards,Demolition"
"234,21,Flames,Rhinos"
"235,21,Hawks,Blizzard"
"236,21,Sabres,Hurricanes"
"237,21,Outlaws,Bears"
"238,21,Tyrants,Dodgers"
"239,21,Wizards,Pandas"
"240,21,Jets,Spartans"
"241,21,Lightning,Express"
"242,21,Wolves,Ducks"
"243,21,Outlaws,Wizards"
"244,21,Pirates,Rhinos"
"245,21,Knights,Express"
"246,21,Ducks,Hive"
"247,21,Lightning,Jets"
"248,21,Demolition,Flames"
"249,21,Bulls,Elite"
"250,21,Dodgers,Shadow"
"251,21,Sharks,Rhinos"
"252,21,Blizzard,Ducks"
"253,21,Hive,Lightning"
"254,21,Rhinos,Pandas"
"255,21,Demolition,Dodgers"
"256,21,Bulls,Flames"
"257,21,Sabres,Spartans"
"258,21,Knights,Puffins"
"259,22,Sharks,Bulls"
"260,22,Elite,Rhinos"
"261,22,Knights,Express"
"262,22,Lightning,Wolves"
"263,22,Bears,Flames"
"264,22,Elite,Wizards"
"265,22,Aviators,Eclipse"
"266,22,Hawks,Hurricanes"
"267,22,Sharks,Bears"
"268,22,Wizards,Dodgers"
"269,22,Hawks,Spartans"
"270,22,Lightning,Ducks"
"271,22,Comets,Sharks"
"272,22,Outlaws,Dodgers"
"273,22,Foxes,Hive"
"274,22,Jets,Blizzard"
"275,22,Shadow,Flames"
"276,22,Rhinos,Demolition"
"277,22,Aviators,Spartans"
"278,22,Knights,Blizzard"
"279,22,Shadow,Rhinos"
"280,22,Flames,Elite"
"281,22,Sabres,Hive"
"282,22,Lightning,Express"
"283,22,Bulls,Tyrants"
"284,22,Pirates,Outlaws"
"285,22,Knights,Hurricanes"
"286,22,Pirates,Bears"
"287,22,Knights,Eclipse"
"288,22,Shadow,Demolition"
"289,22,Spectre,Flames"
"290,22,Hawks,Foxes"
"291,22,Puffins,Ducks"
"292,22,Shadow,Spectre"
"293,22,Flames,Comets"
"294,22,Puffins,Sabres"
"295,22,Aviators,Hawks"
"296,23,Bulls,Rhinos"
"297,23,Express,Lightning"
"298,23,Elite,Bears"
"299,23,Aviators,Hawks"
"300,23,Lightning,Hawks"
"301,23,Sharks,Dodgers"
"302,23,Jets,Foxes"
"303,23,Flames,Rhinos"
"304,23,Spartans,Knights"
"305,23,Flames,Shadow"
"306,23,Lightning,Sabres"
"307,23,Outlaws,Bulls"
"308,23,Knights,Jets"
"309,23,Pirates,Bulls"
"310,23,Puffins,Hawks"
"311,23,Comets,Shadow"
"312,23,Wizards,Sharks"
"313,24,Knights,Bulls"
"314,24,Flames,Hawks"
"315,24,Flames,Lightning"
"316,24,Flames,Spartans"
"317,24,Wizards,Hawks"
"318,24,Jets,Dodgers"
"319,24,Hawks,Bears"
"320,24,Hawks,Shadow"
"321,24,Bulls,Express"
"322,25,Knights,Express"
"323,25,Hawks,Aviators"
"324,25,Hive,Ducks"
"325,25,Shadow,Flames"
"326,25,Sharks,Pandas"
"327,25,Tyrants,Dodgers"
"328,25,Spectre,Comets"
"329,25,Wizards,Demolition"
"330,25,Pirates,Bears"
"367,25,Lightning,Eclipse"
"437,25,Hurricanes,Blizzard"
"438,25,Rhinos,Outlaws"
"439,25,Pirates,Rhinos"
"440,25,Tyrants,Bulls"
"441,25,Hurricanes,Express"
"442,25,Knights,Wizards"
"443,25,Elite,Bulls"
"444,25,Wolves,Puffins"
"445,25,Hawks,Hive"
"446,25,Sabres,Foxes"
"503,25,Spartans,Jets"
"331,26,Flames,Sharks"
"332,26,Aviators,Hive"
"333,26,Hawks,Ducks"
"334,26,Shadow,Pandas"
"335,26,Knights,Jets"
"336,26,Elite,Dodgers"
"337,26,Comets,Wizards"
"338,26,Spectre,Demolition"
"339,26,Bears,Rhinos"
"340,26,Foxes,Wolves"
"341,26,Sabres,Puffins"
"342,26,Blizzard,Lightning"
"447,26,Express,Spartans"
"449,26,Hive,Rhinos"
"450,26,Bulls,Wizards"
"451,26,Hurricanes,Eclipse"
"452,26,Bulls,Tyrants"
"453,26,Express,Knights"
"454,26,Pirates,Outlaws"
"504,26,Tyrants,Pirates"
"507,26,Hurricanes,Hawks"
"343,27,Hive,Hawks"
"344,27,Demolition,Comets"
"345,27,Dodgers,Bulls"
"346,27,Sharks,Shadow"
"347,27,Pandas,Flames"
"348,27,Lightning,Hurricanes"
"349,27,Eclipse,Blizzard"
