"match_id,fixture_id,match_group_id,scheduling_start_time,scheduling_end_time,home,away,league,game_mode,home_wins,away_wins,winning_team"
"504,1,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sabres,Puffins,Master League,Doubles,0,0,Not Played / Data Unavailable"
"60,1,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sabres,Puffins,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"2292,1,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sabres,Puffins,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"450,1,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sabres,Puffins,Foundation League,Doubles,0,0,Not Played / Data Unavailable"
"505,1,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sabres,Puffins,Master League,Standard,0,0,Not Played / Data Unavailable"
"447,1,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sabres,Puffins,Champion League,Standard,0,0,Not Played / Data Unavailable"
"451,1,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sabres,Puffins,Academy League,Standard,0,0,Not Played / Data Unavailable"
"461,1,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Sabres,Puffins,Foundation League,Standard,0,0,Not Played / Data Unavailable"
"506,2,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hive,Aviators,Master League,Doubles,0,0,Not Played / Data Unavailable"
"507,2,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hive,Aviators,Champion League,Doubles,0,0,Not Played / Data Unavailable"
"509,2,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hive,Aviators,Academy League,Doubles,0,0,Not Played / Data Unavailable"
"30,2,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hive,Aviators,Foundation League,Doubles,0,0,Not Played / Data Unavailable"
"508,2,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hive,Aviators,Master League,Standard,0,0,Not Played / Data Unavailable"
"21,2,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hive,Aviators,Champion League,Standard,0,0,Not Played / Data Unavailable"
"510,2,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hive,Aviators,Academy League,Standard,0,0,Not Played / Data Unavailable"
"2615,2,6,2021-04-22 04:00:00,2021-04-26 04:00:00,Hive,Aviators,Foundation League,Standard,0,0,Not Played / Data Unavailable"
