"name,salary,sprocket_player_id,member_id,skill_group,franchise,Franchise Staff Position,slot,current_scrim_points,Eligible Until"
"-j,13.5,1,2,Champion League,FP,NA,NONE,0,Not Eligible"
"!Chino-096,12.5,2,3,Academy League,FP,NA,NONE,0,Not Eligible"
"1AMRamen,16.5,3,4,Master League,Pend,NA,NONE,0,Not Eligible"
"BuffaloDave,10.5,4,5,Academy League,FP,NA,NONE,0,Not Eligible"
"AcePocket,17.0,5,6,Premier League,FP,NA,NONE,0,Not Eligible"
"Achieves,15.5,6,7,Master League,FP,NA,NONE,0,Not Eligible"
"Achilles,10.5,7,8,Academy League,FP,NA,NONE,0,Not Eligible"
"AD Slaps,9.5,8,9,Foundation League,FP,NA,NONE,0,Not Eligible"
"ADHD,14.0,9,10,Champion League,FP,NA,NONE,0,Not Eligible"
"Adi,13.5,10,11,Champion League,Pend,NA,NONE,0,Not Eligible"
"adun,17.0,11,12,Premier League,FP,NA,NONE,0,Not Eligible"
"Agent Thunder,14.0,12,13,Champion League,FP,NA,NONE,0,Not Eligible"
"Ajax,15.5,13,14,Master League,FP,NA,NONE,0,Not Eligible"
"Alien,13.0,14,15,Champion League,FP,NA,NONE,0,Not Eligible"
"Joy,16.5,15,16,Master League,FP,NA,NONE,0,Not Eligible"
"Angelz,13.5,16,17,Champion League,FP,NA,PLAYERG,0,Not Eligible"
"antzu,20.0,17,18,Premier League,FP,NA,NONE,0,Not Eligible"
"Apollo,16.5,18,19,Master League,FP,NA,NONE,0,Not Eligible"
"Apple,16.0,19,20,Master League,FP,NA,NONE,0,Not Eligible"
"aququo,17.0,20,21,Master League,FP,NA,NONE,0,Not Eligible"
"Arcane,13.5,21,22,Champion League,FP,NA,NONE,0,Not Eligible"
"Armored Farmer,12.0,22,23,Academy League,FP,NA,NONE,0,Not Eligible"
"Arrogantmeat,14.0,23,24,Champion League,Pend,NA,NONE,0,Not Eligible"
"Atikah,10.5,24,25,Academy League,FP,NA,NONE,0,Not Eligible"
"Atokad,20.0,25,26,Premier League,FP,NA,NONE,0,Not Eligible"
