"match_id,round_id,Home,Home Goals,Away,Away Goals"
"53409,150836,Foxes,1,Tyrants,2"
"53444,150719,Hive,3,Hurricanes,4"
"53525,150748,Bulls,4,Pandas,0"
"53421,150794,Comets,3,Wizards,2"
"53508,150798,Knights,4,Outlaws,7"
"53452,150806,Blizzard,3,Wolves,1"
"53452,150808,Blizzard,6,Wolves,2"
"53451,150812,Hive,0,Hurricanes,1"
"53451,150815,Hive,3,Hurricanes,1"
"53515,150824,Knights,3,Outlaws,4"
"53515,150825,Knights,1,Outlaws,2"
"53515,150826,Knights,4,Outlaws,3"
"53494,151120,Dodgers,2,Elite,3"
"53494,151122,Dodgers,4,Elite,3"
"53469,151156,Ducks,2,Sharks,1"
"53418,151184,Puffins,2,Sabres,1"
"53485,151191,Demolition,5,Flames,3"
"53485,151192,Demolition,4,Flames,3"
"53420,151211,Comets,4,Wizards,1"
"53521,151479,Bears,5,Rhinos,1"
"53438,151496,Aviators,0,Jets,4"
"53507,151503,Express,3,Spartans,1"
"53473,151506,Ducks,2,Sharks,1"
"53527,151525,Bulls,5,Pandas,3"
"53531,151538,Bulls,1,Pandas,2"
"53475,151543,Ducks,2,Sharks,3"
"53419,151547,Puffins,1,Sabres,2"
"53455,151569,Blizzard,1,Wolves,3"
"53493,151573,Dodgers,2,Elite,5"
"53446,151585,Hive,1,Hurricanes,4"
"53543,151899,Tyrants,4,Sabres,1"
"53543,151902,Tyrants,6,Sabres,3"
"53540,151909,Tyrants,3,Sabres,1"
"53582,151955,Blizzard,4,Lightning,3"
"53582,151956,Blizzard,5,Lightning,2"
"53582,151959,Blizzard,2,Lightning,1"
"53461,151995,Lightning,0,Shadow,4"
"53594,152000,Wolves,3,Shadow,2"
"53594,152001,Wolves,2,Shadow,1"
"53579,152006,Jets,4,Hurricanes,1"
"53592,152298,Wolves,5,Shadow,1"
"53612,152312,Demolition,3,Dodgers,6"
"53558,152359,Wizards,5,Spectre,2"
"53542,152679,Tyrants,0,Sabres,2"
"53542,152681,Tyrants,4,Sabres,1"
"53584,152695,Blizzard,2,Lightning,3"
"53584,152697,Blizzard,3,Lightning,2"
"53584,152698,Blizzard,3,Lightning,1"
"53623,152732,Flames,5,Elite,0"
"53643,152778,Spartans,3,Outlaws,4"
"53588,152796,Wolves,3,Shadow,1"
"53650,153085,Bears,7,Bulls,2"
"53650,153086,Bears,4,Bulls,5"
"53642,153118,Spartans,2,Outlaws,7"
"53599,153124,Ducks,4,Hawks,2"
"53599,153126,Ducks,1,Hawks,2"
"53599,153127,Ducks,2,Hawks,1"
"53600,153129,Ducks,3,Hawks,2"
"53550,153134,Comets,6,Eclipse,5"
"53538,153172,Foxes,1,Puffins,3"
"53538,153174,Foxes,3,Puffins,0"
"53568,153178,Aviators,3,Hive,4"
"53663,154226,Puffins,2,Tyrants,0"
"53756,154246,Knights,3,Spartans,4"
"53710,154267,Lightning,2,Wolves,1"
"53710,154270,Lightning,2,Wolves,3"
"53693,154271,Hive,2,Jets,3"
"53736,154276,Pirates,3,Ducks,2"
"53736,154280,Pirates,2,Ducks,4"
"53724,154344,Hawks,5,Sharks,1"
"53783,154714,Pandas,2,Bears,5"
"53718,155002,Shadow,6,Blizzard,3"
"53738,155090,Pirates,1,Ducks,2"
"53734,155410,Pirates,2,Ducks,3"
