"match_group_id,start,end,match_group_title,parent_group_title"
"6,2021-04-22 04:00:00,2021-04-26 04:00:00,Match 1,Season 12"
"16,2021-04-22 04:00:00,2021-05-03 04:00:00,Match 11,Season 12"
"7,2021-04-29 04:00:00,2021-05-03 04:00:00,Match 2,Season 12"
"8,2021-05-06 04:00:00,2021-05-10 04:00:00,Match 3,Season 12"
"17,2021-05-06 04:00:00,2021-05-17 04:00:00,Match 12,Season 12"
"9,2021-05-20 04:00:00,2021-05-24 04:00:00,Match 4,Season 12"
"10,2021-05-27 04:00:00,2021-05-31 04:00:00,Match 5,Season 12"
"18,2021-05-27 04:00:00,2021-06-07 04:00:00,Match 13,Season 12"
"11,2021-06-03 04:00:00,2021-06-07 04:00:00,Match 6,Season 12"
"12,2021-06-10 04:00:00,2021-06-14 04:00:00,Match 7,Season 12"
"19,2021-06-10 04:00:00,2021-06-21 04:00:00,Match 14,Season 12"
"13,2021-06-24 04:00:00,2021-06-28 04:00:00,Match 8,Season 12"
"14,2021-07-08 04:00:00,2021-07-12 04:00:00,Match 9,Season 12"
"15,2021-07-15 04:00:00,2021-07-19 04:00:00,Match 10,Season 12"
"21,2021-07-23 00:00:00,2021-07-26 00:00:00,Conference Quarter-Finals,Season 12 Playoffs"
"20,2021-07-23 00:00:00,2021-07-26 00:00:00,Qualifiers,Season 12 Playoffs"
"22,2021-07-30 00:00:00,2021-08-02 00:00:00,Conference Semi-Finals,Season 12 Playoffs"
"23,2021-08-06 00:00:00,2021-08-08 00:00:00,Conference Finals,Season 12 Playoffs"
"24,2021-08-13 00:00:00,2021-08-15 00:00:00,League Championship,Season 12 Playoffs"
"25,2021-11-04 04:00:00,2021-11-08 05:00:00,Match 1,Season 13"
"26,2021-11-11 05:00:00,2021-11-15 05:00:00,Match 2,Season 13"
"27,2021-11-18 05:00:00,2021-11-22 05:00:00,Match 3,Season 13"
"28,2021-12-02 05:00:00,2021-12-06 05:00:00,Match 4,Season 13"
"29,2021-12-09 05:00:00,2021-12-13 05:00:00,Match 5,Season 13"
"30,2021-12-16 05:00:00,2021-12-20 05:00:00,Match 6,Season 13"
"31,2022-01-06 05:00:00,2022-01-10 05:00:00,Match 7,Season 13"
"32,2022-01-13 05:00:00,2022-01-17 05:00:00,Match 8,Season 13"
"33,2022-01-20 05:00:00,2022-01-24 05:00:00,Match 9,Season 13"
"34,2022-01-27 05:00:00,2022-01-31 05:00:00,Match 10,Season 13"
"35,2022-02-01 00:00:00,2022-02-13 00:00:00,Qualifiers,Season 13 Playoffs"
"36,2022-02-01 00:00:00,2022-02-13 00:00:00,Conference Quarter-Finals,Season 13 Playoffs"
"37,2022-02-18 00:00:00,2022-02-27 00:00:00,Conference Semi-Finals,Season 13 Playoffs"
"38,2022-03-04 00:00:00,2022-03-06 00:00:00,Conference Finals,Season 13 Playoffs"
"39,2022-03-12 00:00:00,2022-03-13 00:00:00,League Championship,Season 13 Playoffs"
"40,2022-07-28 04:00:00,2022-08-01 04:00:00,Match 1,Season 14"
"47,2022-08-04 04:00:00,2022-08-08 04:00:00,Match 2,Season 14"
"42,2022-08-18 04:00:00,2022-08-22 04:00:00,Match 3,Season 14"
"41,2022-08-25 04:00:00,2022-08-29 04:00:00,Match 4,Season 14"
"48,2022-09-08 04:00:00,2022-09-12 04:00:00,Match 5,Season 14"
"43,2022-09-15 04:00:00,2022-09-19 04:00:00,Match 6,Season 14"
"45,2022-09-22 04:00:00,2022-09-26 04:00:00,Match 7,Season 14"
"44,2022-10-06 04:00:00,2022-10-10 04:00:00,Match 8,Season 14"
"49,2022-10-13 04:00:00,2022-10-17 04:00:00,Match 9,Season 14"
"46,2022-10-20 04:00:00,2022-10-24 04:00:00,Match 10,Season 14"
"50,2022-10-27 04:00:00,2022-11-01 04:00:00,Conference Quarter-Finals,Season 14 Playoffs"
"52,2022-11-03 00:00:00,2022-11-06 00:00:00,Conference Semi-Finals,Season 14 Playoffs"
"53,2022-11-10 05:00:00,2022-11-14 05:00:00,Conference Finals,Season 14 Playoffs"
"54,2022-11-17 00:00:00,2022-11-20 00:00:00,Grand Finals,Season 14 Playoffs"
"67,2023-03-09 05:00:00,2023-03-13 04:00:00,Match 1,Season 15"
"68,2023-03-16 04:00:00,2023-03-20 04:00:00,Match 2,Season 15"
"69,2023-03-23 04:00:00,2023-03-27 04:00:00,Match 3,Season 15"
"70,2023-03-30 04:00:00,2023-04-03 04:00:00,Match 4,Season 15"
"71,2023-04-13 04:00:00,2023-04-17 04:00:00,Match 5,Season 15"
"72,2023-04-20 04:00:00,2023-04-24 04:00:00,Match 6,Season 15"
"73,2023-04-27 04:00:00,2023-05-01 04:00:00,Match 7,Season 15"
"74,2023-05-04 04:00:00,2023-05-08 04:00:00,Match 8,Season 15"
"75,2023-05-18 04:00:00,2023-05-22 04:00:00,Match 9,Season 15"
"76,2023-05-24 04:00:00,2023-05-30 04:00:00,Match 10,Season 15"
"78,2023-06-08 04:00:00,2023-06-12 04:00:00,Match 21,Season 15 Playoffs"
"77,2023-06-08 04:00:00,2023-06-12 04:00:00,Match 20,Season 15 Playoffs"
"80,2023-06-15 04:00:00,2023-06-19 04:00:00,Match 22,Season 15 Playoffs"
"81,2023-06-22 04:00:00,2023-06-26 04:00:00,Match 23,Season 15 Playoffs"
"82,2023-06-29 04:00:00,2023-07-03 04:00:00,Match 24,Season 15 Playoffs"
"211,2023-10-12 04:00:00,2023-10-16 04:00:00,Match 1,Season 16"
"212,2023-10-19 04:00:00,2023-10-23 04:00:00,Match 2,Season 16"
"213,2023-10-26 04:00:00,2023-10-30 04:00:00,Match 3,Season 16"
"210,2023-11-02 04:00:00,2023-11-06 05:00:00,Match 4,Season 16"
"204,2023-11-09 05:00:00,2023-11-13 05:00:00,Match 5,Season 16"
"205,2023-11-16 05:00:00,2023-11-20 05:00:00,Match 6,Season 16"
"206,2023-11-30 05:00:00,2023-12-04 05:00:00,Match 7,Season 16"
"207,2023-12-07 05:00:00,2023-12-11 05:00:00,Match 8,Season 16"
"208,2023-12-14 05:00:00,2023-12-18 05:00:00,Match 9,Season 16"
"209,2024-01-04 05:00:00,2024-01-08 05:00:00,Match 10,Season 16"
"218,2024-01-10 05:00:00,2024-01-15 05:00:00,Match 20,Season 16 Playoffs"
"217,2024-01-10 05:00:00,2024-01-15 05:00:00,Match 21,Season 16 Playoffs"
"216,2024-01-17 05:00:00,2024-01-22 05:00:00,Match 22,Season 16 Playoffs"
"215,2024-01-24 05:00:00,2024-01-29 05:00:00,Match 23,Season 16 Playoffs"
"214,2024-01-31 05:00:00,2024-02-05 05:00:00,Match 24,Season 16 Playoffs"
"220,2024-05-09 00:00:00,2024-05-12 20:59:59,Match 1,Season 17"
"221,2024-05-16 00:00:00,2024-05-19 20:59:59,Match 2,Season 17"
"222,2024-05-30 00:00:00,2024-06-02 20:59:59,Match 3,Season 17"
"223,2024-06-06 00:00:00,2024-06-09 20:59:59,Match 4,Season 17"
"224,2024-06-13 00:00:00,2024-06-16 20:59:59,Match 5,Season 17"
"225,2024-06-20 00:00:00,2024-06-23 20:59:59,Match 6,Season 17"
"226,2024-06-27 00:00:00,2024-06-30 20:59:59,Match 7,Season 17"
"227,2024-07-11 00:00:00,2024-07-14 20:59:59,Match 8,Season 17"
"228,2024-07-18 00:00:00,2024-07-21 20:59:59,Match 9,Season 17"
"229,2024-07-25 00:00:00,2024-07-28 20:59:59,Match 10,Season 17"
"238,2024-08-08 00:00:00,2024-08-11 20:59:00,Conference Quarterfinals,Season 17 Playoffs"
"239,2024-08-15 00:00:00,2024-08-19 00:00:00,Conference Semifinals,Season 17 Playoffs"
"240,2024-08-22 00:00:00,2024-08-26 00:00:00,Conference Finals,Season 17 Playoffs"
"242,2024-09-05 00:00:00,2024-09-08 00:00:00,Grand Finals,Season 17 Playoffs"
"292,2025-02-06 00:00:00,2025-02-09 23:59:00,Match 1,Season 18"
