"doubles_uses,standard_uses,total_uses,season_number,team_name,league,role"
"3,7,10,18,Aviators,ACADEMY,PLAYERA"
"1,7,8,18,Aviators,ACADEMY,PLAYERB"
"2,5,7,18,Aviators,ACADEMY,PLAYERC"
"2,1,3,18,Aviators,ACADEMY,PLAYERD"
"6,2,8,18,Aviators,ACADEMY,PLAYERE"
"2,3,5,18,Aviators,ACADEMY,PLAYERF"
"3,3,6,18,Aviators,ACADEMY,PLAYERG"
"1,0,1,18,Aviators,ACADEMY,PLAYERH"
"6,2,8,18,Aviators,CHAMPION,PLAYERA"
"3,7,10,18,Aviators,CHAMPION,PLAYERB"
"2,5,7,18,Aviators,CHAMPION,PLAYERC"
"2,3,5,18,Aviators,CHAMPION,PLAYERD"
"3,2,5,18,Aviators,CHAMPION,PLAYERE"
"1,2,3,18,Aviators,CHAMPION,PLAYERF"
"0,6,6,18,Aviators,CHAMPION,PLAYERG"
"4,3,7,18,Aviators,CHAMPION,PLAYERH"
"3,2,5,18,Aviators,MASTER,PLAYERA"
"3,5,8,18,Aviators,MASTER,PLAYERB"
"2,7,9,18,Aviators,MASTER,PLAYERC"
"4,6,10,18,Aviators,MASTER,PLAYERD"
"5,2,7,18,Aviators,MASTER,PLAYERE"
"1,5,6,18,Aviators,MASTER,PLAYERF"
"0,3,3,18,Aviators,MASTER,PLAYERH"
"3,7,10,18,Aviators,PREMIER,PLAYERA"
"3,7,10,18,Aviators,PREMIER,PLAYERB"
"6,2,8,18,Aviators,PREMIER,PLAYERC"
"3,1,4,18,Aviators,PREMIER,PLAYERD"
"0,4,4,18,Aviators,PREMIER,PLAYERE"
"3,6,9,18,Aviators,PREMIER,PLAYERF"
"5,5,10,18,Bears,ACADEMY,PLAYERA"
"6,6,12,18,Bears,ACADEMY,PLAYERB"
"4,6,10,18,Bears,ACADEMY,PLAYERC"
"0,8,8,18,Bears,ACADEMY,PLAYERD"
"5,5,10,18,Bears,ACADEMY,PLAYERE"
"6,6,12,18,Bears,CHAMPION,PLAYERA"
"5,7,12,18,Bears,CHAMPION,PLAYERB"
"5,5,10,18,Bears,CHAMPION,PLAYERC"
"4,7,11,18,Bears,CHAMPION,PLAYERD"
"0,4,4,18,Bears,CHAMPION,PLAYERE"
"0,1,1,18,Bears,CHAMPION,PLAYERF"
"5,6,11,18,Bears,MASTER,PLAYERA"
"6,5,11,18,Bears,MASTER,PLAYERB"
"1,7,8,18,Bears,MASTER,PLAYERC"
"2,6,8,18,Bears,MASTER,PLAYERD"
"6,6,12,18,Bears,MASTER,PLAYERE"
"1,1,2,18,Bears,MASTER,PLAYERF"
"2,6,8,18,Bears,PREMIER,PLAYERA"
"2,5,7,18,Bears,PREMIER,PLAYERB"
"5,4,9,18,Bears,PREMIER,PLAYERC"
"6,6,12,18,Bears,PREMIER,PLAYERD"
"4,8,12,18,Bears,PREMIER,PLAYERE"
"1,0,1,18,Bears,PREMIER,PLAYERF"
"3,3,6,18,Blizzard,ACADEMY,PLAYERA"
"5,4,9,18,Blizzard,ACADEMY,PLAYERB"
"6,7,13,18,Blizzard,ACADEMY,PLAYERC"
"2,3,5,18,Blizzard,ACADEMY,PLAYERD"
"1,3,4,18,Blizzard,ACADEMY,PLAYERE"
"3,7,10,18,Blizzard,ACADEMY,PLAYERF"
"5,7,12,18,Blizzard,CHAMPION,PLAYERA"
"4,4,8,18,Blizzard,CHAMPION,PLAYERB"
"1,4,5,18,Blizzard,CHAMPION,PLAYERC"
"1,2,3,18,Blizzard,CHAMPION,PLAYERD"
"5,3,8,18,Blizzard,CHAMPION,PLAYERE"
"4,5,9,18,Blizzard,CHAMPION,PLAYERF"
"1,4,5,18,Blizzard,CHAMPION,PLAYERG"
"3,5,8,18,Blizzard,MASTER,PLAYERA"
"3,0,3,18,Blizzard,MASTER,PLAYERB"
"4,8,12,18,Blizzard,MASTER,PLAYERC"
"4,8,12,18,Blizzard,MASTER,PLAYERD"
"1,6,7,18,Blizzard,MASTER,PLAYERE"
"5,3,8,18,Blizzard,MASTER,PLAYERF"
"0,1,1,18,Blizzard,PREMIER,NONE"
"4,7,11,18,Blizzard,PREMIER,PLAYERA"
"4,7,11,18,Blizzard,PREMIER,PLAYERB"
"5,6,11,18,Blizzard,PREMIER,PLAYERC"
"0,1,1,18,Blizzard,PREMIER,PLAYERD"
"5,6,11,18,Blizzard,PREMIER,PLAYERE"
"0,1,1,18,Blizzard,PREMIER,PLAYERF"
"0,1,1,18,Blizzard,PREMIER,PLAYERG"
"6,6,12,18,Bulls,ACADEMY,PLAYERA"
"2,6,8,18,Bulls,ACADEMY,PLAYERB"
"2,4,6,18,Bulls,ACADEMY,PLAYERC"
"4,8,12,18,Bulls,ACADEMY,PLAYERE"
"6,3,9,18,Bulls,ACADEMY,PLAYERF"
"3,3,6,18,Bulls,CHAMPION,PLAYERA"
"0,4,4,18,Bulls,CHAMPION,PLAYERB"
"3,6,9,18,Bulls,CHAMPION,PLAYERC"
"6,2,8,18,Bulls,CHAMPION,PLAYERD"
"4,7,11,18,Bulls,CHAMPION,PLAYERE"
"3,2,5,18,Bulls,CHAMPION,PLAYERF"
"1,3,4,18,Bulls,CHAMPION,PLAYERG"
"1,2,3,18,Bulls,MASTER,PLAYERA"
"5,5,10,18,Bulls,MASTER,PLAYERB"
"6,6,12,18,Bulls,MASTER,PLAYERC"
"5,6,11,18,Bulls,MASTER,PLAYERD"
"2,6,8,18,Bulls,MASTER,PLAYERE"
"1,2,3,18,Bulls,MASTER,PLAYERF"
"0,3,3,18,Bulls,MASTER,PLAYERG"
"6,6,12,18,Bulls,PREMIER,PLAYERA"
"5,7,12,18,Bulls,PREMIER,PLAYERB"
"3,8,11,18,Bulls,PREMIER,PLAYERC"
"6,6,12,18,Bulls,PREMIER,PLAYERD"
"0,3,3,18,Bulls,PREMIER,PLAYERF"
"3,5,8,18,Comets,ACADEMY,PLAYERA"
"6,6,12,18,Comets,ACADEMY,PLAYERB"
"4,4,8,18,Comets,ACADEMY,PLAYERC"
"6,6,12,18,Comets,ACADEMY,PLAYERD"
"1,1,2,18,Comets,ACADEMY,PLAYERE"
"0,8,8,18,Comets,ACADEMY,PLAYERF"
"4,2,6,18,Comets,CHAMPION,PLAYERA"
"2,8,10,18,Comets,CHAMPION,PLAYERB"
"4,0,4,18,Comets,CHAMPION,PLAYERC"
"4,6,10,18,Comets,CHAMPION,PLAYERD"
"2,4,6,18,Comets,CHAMPION,PLAYERE"
"0,6,6,18,Comets,CHAMPION,PLAYERF"
"1,3,4,18,Comets,CHAMPION,PLAYERG"
"3,1,4,18,Comets,CHAMPION,PLAYERH"
"2,6,8,18,Comets,FOUNDATION,PLAYERA"
"6,6,12,18,Comets,FOUNDATION,PLAYERB"
"5,7,12,18,Comets,FOUNDATION,PLAYERC"
"0,4,4,18,Comets,FOUNDATION,PLAYERD"
"0,2,2,18,Comets,FOUNDATION,PLAYERE"
"1,1,2,18,Comets,FOUNDATION,PLAYERF"
"6,4,10,18,Comets,FOUNDATION,PLAYERG"
"6,6,12,18,Comets,MASTER,PLAYERA"
"4,3,7,18,Comets,MASTER,PLAYERB"
"1,4,5,18,Comets,MASTER,PLAYERC"
"0,6,6,18,Comets,MASTER,PLAYERD"
"6,5,11,18,Comets,MASTER,PLAYERE"
"3,6,9,18,Comets,MASTER,PLAYERF"
"6,5,11,18,Demolition,ACADEMY,PLAYERA"
"1,7,8,18,Demolition,ACADEMY,PLAYERB"
"5,6,11,18,Demolition,ACADEMY,PLAYERC"
"5,1,6,18,Demolition,ACADEMY,PLAYERD"
"3,8,11,18,Demolition,ACADEMY,PLAYERE"
"0,3,3,18,Demolition,ACADEMY,PLAYERG"
"6,5,11,18,Demolition,CHAMPION,PLAYERA"
"6,3,9,18,Demolition,CHAMPION,PLAYERB"
"3,7,10,18,Demolition,CHAMPION,PLAYERC"
"1,5,6,18,Demolition,CHAMPION,PLAYERD"
"2,6,8,18,Demolition,CHAMPION,PLAYERE"
"3,4,7,18,Demolition,CHAMPION,PLAYERF"
"6,6,12,18,Demolition,FOUNDATION,PLAYERA"
"6,5,11,18,Demolition,FOUNDATION,PLAYERB"
"4,5,9,18,Demolition,FOUNDATION,PLAYERC"
"4,8,12,18,Demolition,FOUNDATION,PLAYERD"
"0,6,6,18,Demolition,FOUNDATION,PLAYERE"
"1,7,8,18,Demolition,MASTER,PLAYERA"
"6,2,8,18,Demolition,MASTER,PLAYERB"
"2,6,8,18,Demolition,MASTER,PLAYERC"
"3,6,9,18,Demolition,MASTER,PLAYERD"
"5,4,9,18,Demolition,MASTER,PLAYERE"
"1,2,3,18,Demolition,MASTER,PLAYERG"
"3,5,8,18,Dodgers,ACADEMY,PLAYERA"
"4,7,11,18,Dodgers,ACADEMY,PLAYERB"
"5,7,12,18,Dodgers,ACADEMY,PLAYERC"
"4,5,9,18,Dodgers,ACADEMY,PLAYERD"
"6,6,12,18,Dodgers,ACADEMY,PLAYERE"
"0,2,2,18,Dodgers,ACADEMY,PLAYERF"
"4,5,9,18,Dodgers,CHAMPION,PLAYERA"
"4,6,10,18,Dodgers,CHAMPION,PLAYERB"
"3,7,10,18,Dodgers,CHAMPION,PLAYERC"
"5,5,10,18,Dodgers,CHAMPION,PLAYERD"
"3,1,4,18,Dodgers,CHAMPION,PLAYERE"
"1,3,4,18,Dodgers,CHAMPION,PLAYERF"
"3,6,9,18,Dodgers,FOUNDATION,PLAYERA"
"4,5,9,18,Dodgers,FOUNDATION,PLAYERB"
"1,4,5,18,Dodgers,FOUNDATION,PLAYERC"
"6,5,11,18,Dodgers,FOUNDATION,PLAYERD"
"3,6,9,18,Dodgers,FOUNDATION,PLAYERE"
